scope,family_key,is_target_candidate,view,resolutions
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedHeld,10
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedPrevNext,107
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedHeld,800
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedHeldPrevNext,74
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedNext,173
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedNextTransition,190
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedPrevious,173
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedPreviousTransition,187
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedPrevNext,123
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedHeld,34
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedHeldPrevNext,80
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedNext,246
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedNextTransition,232
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedPrevious,280
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedPreviousTransition,238
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedPrevNext,99
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedHeld,73
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedHeldPrevNext,192
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedNext,647
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedNextTransition,530
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedPrevious,672
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedPreviousTransition,539
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedPrevNext,190
family,"NOWISEE | KO INU | RUKA",no,ReducedHeld,665
family,"NOWISEE | KO INU | RUKA",no,ReducedHeldPrevNext,2
family,"NOWISEE | KO INU | RUKA",no,ReducedNext,563
family,"NOWISEE | KO INU | RUKA",no,ReducedNextTransition,320
family,"NOWISEE | KO INU | RUKA",no,ReducedPrevious,623
family,"NOWISEE | KO INU | RUKA",no,ReducedPreviousTransition,324
family,"NOWISEE | KO INU | RUKA",no,ReducedPrevNext,28
family,"NOWISEE | KO INU | RUKA",yes,ReducedHeld,855
family,"NOWISEE | KO INU | RUKA",yes,ReducedHeldPrevNext,140
family,"NOWISEE | KO INU | RUKA",yes,ReducedNext,682
family,"NOWISEE | KO INU | RUKA",yes,ReducedNextTransition,348
family,"NOWISEE | KO INU | RUKA",yes,ReducedPrevious,652
family,"NOWISEE | KO INU | RUKA",yes,ReducedPreviousTransition,319
family,"NOWISEE | KO INU | RUKA",yes,ReducedPrevNext,144
family,"ORGT | DESTINY | BAIO",no,ReducedHeld,120
family,"ORGT | DESTINY | BAIO",no,ReducedHeldPrevNext,11
family,"ORGT | DESTINY | BAIO",no,ReducedNext,127
family,"ORGT | DESTINY | BAIO",no,ReducedNextTransition,116
family,"ORGT | DESTINY | BAIO",no,ReducedPrevious,127
family,"ORGT | DESTINY | BAIO",no,ReducedPreviousTransition,135
family,"ORGT | DESTINY | BAIO",no,ReducedPrevNext,21
family,"ORGT | DESTINY | BAIO",yes,ReducedHeld,86
family,"ORGT | DESTINY | BAIO",yes,ReducedHeldPrevNext,82
family,"ORGT | DESTINY | BAIO",yes,ReducedNext,235
family,"ORGT | DESTINY | BAIO",yes,ReducedNextTransition,199
family,"ORGT | DESTINY | BAIO",yes,ReducedPrevious,236
family,"ORGT | DESTINY | BAIO",yes,ReducedPreviousTransition,209
family,"ORGT | DESTINY | BAIO",yes,ReducedPrevNext,87
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedHeld,35
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedHeldPrevNext,78
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedNext,461
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedNextTransition,571
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedPrevious,412
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedPreviousTransition,538
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedPrevNext,78
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedHeld,60
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedHeldPrevNext,203
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedNext,898
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedNextTransition,768
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedPrevious,790
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedPreviousTransition,720
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedPrevNext,203
global,"GLOBAL",no,ReducedHeld,2210
global,"GLOBAL",no,ReducedHeldPrevNext,889
global,"GLOBAL",no,ReducedNext,3774
global,"GLOBAL",no,ReducedNextTransition,3490
global,"GLOBAL",no,ReducedPrevious,3850
global,"GLOBAL",no,ReducedPreviousTransition,3387
global,"GLOBAL",no,ReducedPrevNext,1109
global,"GLOBAL",yes,ReducedHeld,3503
global,"GLOBAL",yes,ReducedHeldPrevNext,5281
global,"GLOBAL",yes,ReducedNext,6661
global,"GLOBAL",yes,ReducedNextTransition,6148
global,"GLOBAL",yes,ReducedPrevious,6624
global,"GLOBAL",yes,ReducedPreviousTransition,6306
global,"GLOBAL",yes,ReducedPrevNext,5425
