target_type,original_chord_size,reduced_visible_count,held_before,baseline_completion_count,comparable_view_count,target_resolving_view_count,coverage_signature,trials,primary_competing_trials,unique_wrong_views
LongNoteHead,2,1,present,12,3,1,11100000,54,54,12
LongNoteHead,2,1,present,12,3,2,10001100,9,9,0
LongNoteHead,2,1,present,12,3,2,10101000,2,2,0
LongNoteHead,2,1,present,12,3,2,10110000,2,2,0
LongNoteHead,2,1,present,12,3,2,11001000,5,5,0
LongNoteHead,2,1,present,12,3,2,11100000,7,7,0
LongNoteHead,2,1,present,12,4,0,10101100,11,11,8
LongNoteHead,2,1,present,12,4,0,10111000,13,13,19
LongNoteHead,2,1,present,12,4,0,11001100,76,76,74
LongNoteHead,2,1,present,12,4,0,11101000,140,140,113
LongNoteHead,2,1,present,12,4,0,11110000,65,65,69
LongNoteHead,2,1,present,12,4,1,10101100,4,4,2
LongNoteHead,2,1,present,12,4,1,10111000,2,2,1
LongNoteHead,2,1,present,12,4,1,11001100,36,36,21
LongNoteHead,2,1,present,12,4,1,11101000,102,102,49
LongNoteHead,2,1,present,12,4,1,11110000,33,33,16
LongNoteHead,2,1,present,12,4,2,10101100,1,1,1
LongNoteHead,2,1,present,12,4,2,11001100,19,19,4
LongNoteHead,2,1,present,12,4,2,11101000,26,26,6
LongNoteHead,2,1,present,12,4,2,11110000,21,21,0
LongNoteHead,2,1,present,12,4,3,11001100,5,5,0
LongNoteHead,2,1,present,12,4,3,11101000,5,5,0
LongNoteHead,2,1,present,12,4,3,11110000,3,3,0
LongNoteHead,2,1,present,12,5,0,10111100,17,17,16
LongNoteHead,2,1,present,12,5,0,11101100,85,85,100
LongNoteHead,2,1,present,12,5,0,11111000,38,38,60
LongNoteHead,2,1,present,12,5,1,10111100,6,6,1
LongNoteHead,2,1,present,12,5,1,11101100,62,62,53
LongNoteHead,2,1,present,12,5,1,11111000,34,34,20
LongNoteHead,2,1,present,12,5,2,10111100,3,3,0
LongNoteHead,2,1,present,12,5,2,11101100,31,31,8
LongNoteHead,2,1,present,12,5,2,11111000,25,25,4
LongNoteHead,2,1,present,12,5,3,11101100,25,25,3
LongNoteHead,2,1,present,12,5,3,11111000,8,8,0
LongNoteHead,2,1,present,12,5,4,11101100,11,11,0
LongNoteHead,2,1,present,12,5,4,11111000,2,2,0
LongNoteHead,2,1,present,12,6,0,10111110,9,9,12
LongNoteHead,2,1,present,12,6,0,11111100,105,105,111
LongNoteHead,2,1,present,12,6,1,10111110,1,1,0
LongNoteHead,2,1,present,12,6,1,11111100,108,108,72
LongNoteHead,2,1,present,12,6,2,11111100,25,25,13
LongNoteHead,2,1,present,12,6,3,11111100,20,20,7
LongNoteHead,2,1,present,12,6,4,10111110,1,1,0
LongNoteHead,2,1,present,12,6,4,11111100,6,6,0
LongNoteHead,2,1,present,12,6,5,11111100,1,1,0
LongNoteHead,2,1,present,12,7,0,11111110,61,61,71
LongNoteHead,2,1,present,12,7,1,11111110,43,43,38
LongNoteHead,2,1,present,12,7,2,11111110,5,5,0
LongNoteHead,2,1,present,12,7,3,11111110,7,7,0
LongNoteHead,2,1,present,12,7,4,11111110,8,8,1
LongNoteHead,2,1,present,12,7,5,11111110,3,3,1
LongNoteHead,2,1,present,12,8,0,11111111,2,2,6
LongNoteHead,2,1,present,12,8,1,11111111,13,13,0
LongNoteHead,2,1,present,12,8,2,11111111,8,8,0
LongNoteHead,2,1,present,12,8,3,11111111,18,18,0
LongNoteHead,2,1,present,12,8,4,11111111,31,31,0
LongNoteHead,2,1,present,12,8,5,11111111,10,10,0
LongNoteHead,2,1,present,12,8,6,11111111,31,31,0
LongNoteHead,2,1,present,12,8,7,11111111,6,6,0
LongNoteHead,2,1,present,5,4,0,10101100,1,0,3
LongNoteHead,2,1,present,6,1,0,10000000,1,0,0
LongNoteHead,2,1,present,6,2,0,11000000,3,3,0
LongNoteHead,2,1,present,6,2,1,11000000,2,2,0
LongNoteHead,2,1,present,6,3,0,11100000,2,2,2
LongNoteHead,2,1,present,6,3,1,11001000,1,1,0
LongNoteHead,2,1,present,6,3,1,11100000,3,3,0
LongNoteHead,2,1,present,6,3,2,11001000,2,2,0
LongNoteHead,2,1,present,6,4,0,11001100,13,13,6
LongNoteHead,2,1,present,6,4,0,11101000,4,4,2
LongNoteHead,2,1,present,6,4,0,11110000,15,15,6
LongNoteHead,2,1,present,6,4,1,10101100,1,1,2
LongNoteHead,2,1,present,6,4,1,11001100,4,4,2
LongNoteHead,2,1,present,6,4,1,11101000,7,7,5
LongNoteHead,2,1,present,6,4,1,11110000,5,5,2
LongNoteHead,2,1,present,6,4,2,11001100,2,2,0
LongNoteHead,2,1,present,6,4,2,11110000,1,1,0
LongNoteHead,2,1,present,6,4,3,11001100,1,1,0
LongNoteHead,2,1,present,6,5,0,11101100,13,13,7
LongNoteHead,2,1,present,6,5,0,11111000,10,10,0
LongNoteHead,2,1,present,6,5,1,11101100,14,14,6
LongNoteHead,2,1,present,6,5,1,11111000,8,8,2
LongNoteHead,2,1,present,6,5,2,11101100,7,7,3
LongNoteHead,2,1,present,6,5,2,11111000,7,7,2
LongNoteHead,2,1,present,6,5,3,11101100,3,3,0
LongNoteHead,2,1,present,6,5,3,11111000,1,1,0
LongNoteHead,2,1,present,6,6,0,11111100,65,65,34
LongNoteHead,2,1,present,6,6,1,11111100,45,45,16
LongNoteHead,2,1,present,6,6,2,11111100,32,32,4
LongNoteHead,2,1,present,6,6,3,11111100,10,10,2
LongNoteHead,2,1,present,6,6,4,11111100,3,3,0
LongNoteHead,2,1,present,6,6,5,11111100,1,1,0
LongNoteHead,2,1,present,6,7,0,11111110,13,13,12
LongNoteHead,2,1,present,6,7,1,11111110,24,24,9
LongNoteHead,2,1,present,6,7,2,11111110,8,8,0
LongNoteHead,2,1,present,6,7,3,11111110,3,3,0
LongNoteHead,2,1,present,6,7,5,11111110,2,2,0
LongNoteHead,2,1,present,6,8,0,11111111,5,5,15
LongNoteHead,2,1,present,6,8,1,11111111,15,15,0
LongNoteHead,2,1,present,6,8,2,11111111,162,162,0
LongNoteHead,2,1,present,6,8,3,11111111,73,73,0
LongNoteHead,2,1,present,6,8,4,11111111,147,147,0
LongNoteHead,2,1,present,6,8,5,11111111,55,55,0
LongNoteHead,2,1,present,6,8,6,11111111,5,5,0
LongNoteHead,2,1,present,6,8,7,11111111,5,5,0
LongNoteHead,2,1,present,7,1,0,10000000,3,1,0
LongNoteHead,2,1,present,7,2,0,10001000,2,0,0
LongNoteHead,2,1,present,7,2,0,11000000,1,0,1
LongNoteHead,2,1,present,7,3,0,10110000,1,0,1
LongNoteHead,2,1,present,7,4,0,11001100,1,1,3
LongNoteHead,2,1,present,7,4,1,10101100,1,1,0
LongNoteHead,2,1,present,7,8,0,11111111,2,0,8
