scope,family_key,is_target_candidate,joint_kind,joint_evidence_state,resolutions
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,HeldPrevNext,ObservedJointContext,228
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,PreviousNext,MarginalContradictedByJoint,30
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,PreviousNext,MarginalWithoutJointComparable,202
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,PreviousNext,NoMarginalAgreement,2184
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,PreviousNext,ObservedJointContext,244
family,"NOWISEE | KO INU | RUKA",no,HeldPrevNext,MarginalWithoutJointComparable,7
family,"NOWISEE | KO INU | RUKA",no,HeldPrevNext,NoMarginalAgreement,30184
family,"NOWISEE | KO INU | RUKA",no,HeldPrevNext,ObservedJointContext,8
family,"NOWISEE | KO INU | RUKA",no,PreviousNext,MarginalContradictedByJoint,8
family,"NOWISEE | KO INU | RUKA",no,PreviousNext,MarginalWithoutJointComparable,19
family,"NOWISEE | KO INU | RUKA",no,PreviousNext,NoMarginalAgreement,30138
family,"NOWISEE | KO INU | RUKA",no,PreviousNext,ObservedJointContext,34
family,"NOWISEE | KO INU | RUKA",yes,HeldPrevNext,NoMarginalAgreement,4459
family,"NOWISEE | KO INU | RUKA",yes,HeldPrevNext,ObservedJointContext,140
family,"NOWISEE | KO INU | RUKA",yes,PreviousNext,MarginalWithoutJointComparable,18
family,"NOWISEE | KO INU | RUKA",yes,PreviousNext,NoMarginalAgreement,4437
family,"NOWISEE | KO INU | RUKA",yes,PreviousNext,ObservedJointContext,144
family,"ORGT | DESTINY | BAIO",no,HeldPrevNext,MarginalContradictedByJoint,3
family,"ORGT | DESTINY | BAIO",no,HeldPrevNext,MarginalWithoutJointComparable,4
family,"ORGT | DESTINY | BAIO",no,HeldPrevNext,NoMarginalAgreement,7838
family,"ORGT | DESTINY | BAIO",no,HeldPrevNext,ObservedJointContext,17
family,"ORGT | DESTINY | BAIO",no,PreviousNext,MarginalContradictedByJoint,4
family,"ORGT | DESTINY | BAIO",no,PreviousNext,MarginalWithoutJointComparable,23
family,"ORGT | DESTINY | BAIO",no,PreviousNext,NoMarginalAgreement,7803
family,"ORGT | DESTINY | BAIO",no,PreviousNext,ObservedJointContext,32
family,"ORGT | DESTINY | BAIO",yes,HeldPrevNext,MarginalWithoutJointComparable,6
family,"ORGT | DESTINY | BAIO",yes,HeldPrevNext,NoMarginalAgreement,1208
family,"ORGT | DESTINY | BAIO",yes,HeldPrevNext,ObservedJointContext,88
family,"ORGT | DESTINY | BAIO",yes,PreviousNext,MarginalContradictedByJoint,1
family,"ORGT | DESTINY | BAIO",yes,PreviousNext,MarginalWithoutJointComparable,47
family,"ORGT | DESTINY | BAIO",yes,PreviousNext,NoMarginalAgreement,1156
family,"ORGT | DESTINY | BAIO",yes,PreviousNext,ObservedJointContext,98
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,HeldPrevNext,NoMarginalAgreement,16440
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,HeldPrevNext,ObservedJointContext,82
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,PreviousNext,MarginalContradictedByJoint,12
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,PreviousNext,MarginalWithoutJointComparable,84
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,PreviousNext,NoMarginalAgreement,16344
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,PreviousNext,ObservedJointContext,82
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,HeldPrevNext,NoMarginalAgreement,3820
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,HeldPrevNext,ObservedJointContext,207
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,PreviousNext,MarginalContradictedByJoint,7
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,PreviousNext,MarginalWithoutJointComparable,254
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,PreviousNext,NoMarginalAgreement,3559
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,PreviousNext,ObservedJointContext,207
global,"GLOBAL",no,HeldPrevNext,MarginalContradictedByJoint,20
global,"GLOBAL",no,HeldPrevNext,MarginalWithoutJointComparable,68
global,"GLOBAL",no,HeldPrevNext,NoMarginalAgreement,207106
global,"GLOBAL",no,HeldPrevNext,ObservedJointContext,1648
global,"GLOBAL",no,PreviousNext,MarginalContradictedByJoint,1068
global,"GLOBAL",no,PreviousNext,MarginalWithoutJointComparable,1897
global,"GLOBAL",no,PreviousNext,NoMarginalAgreement,203825
global,"GLOBAL",no,PreviousNext,ObservedJointContext,2052
global,"GLOBAL",yes,HeldPrevNext,MarginalContradictedByJoint,4
global,"GLOBAL",yes,HeldPrevNext,MarginalWithoutJointComparable,157
global,"GLOBAL",yes,HeldPrevNext,NoMarginalAgreement,34244
global,"GLOBAL",yes,HeldPrevNext,ObservedJointContext,5955
global,"GLOBAL",yes,PreviousNext,MarginalContradictedByJoint,438
global,"GLOBAL",yes,PreviousNext,MarginalWithoutJointComparable,3075
global,"GLOBAL",yes,PreviousNext,NoMarginalAgreement,30654
global,"GLOBAL",yes,PreviousNext,ObservedJointContext,6193
