transition_kind,exact_gap_beats,local_state,final_action,resolutions
TapHeadToTapHead,0.37720000000000037720000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.377200000000000377200000000,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.37740000000000003774,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.39950000000000026633333333,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.39950000000000026633333333,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.39950000000000026633333334,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.40233333333333360155555555,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.41173333333333356451555556,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.4136666666666669424444444,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.41524999999999958475,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.4165000000000002776666666,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.41650000000000027766666666,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.41650000000000027766666666,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.41650000000000027766666667,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.41650000000000027766666667,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.4165000000000002776666667,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.4165000000000002776666667,AmbiguousEvidence,SkipLocalAmbiguity,7
TapHeadToTapHead,0.41653333333333322225777777,AmbiguousEvidence,SkipLocalAmbiguity,6
TapHeadToTapHead,0.41653333333333322225777778,AmbiguousEvidence,SkipLocalAmbiguity,20
TapHeadToTapHead,0.41673333333333350002666666,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.41673333333333350002666667,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.41799999999999958200,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.41946666666666655480888889,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.425850000000000042585,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.42826666666666655246222222,AmbiguousEvidence,SkipLocalAmbiguity,7
TapHeadToTapHead,0.42826666666666655246222223,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.4363333333333336242222222,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.43633333333333362422222222,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.43633333333333362422222222,AmbiguousEvidence,SkipLocalAmbiguity,4
TapHeadToTapHead,0.43633333333333362422222223,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.4363333333333336242222223,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.43668333333333350800666666,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.43668333333333350800666666,AmbiguousEvidence,SkipLocalAmbiguity,7
TapHeadToTapHead,0.43668333333333350800666667,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.43668333333333350800666667,AmbiguousEvidence,SkipLocalAmbiguity,12
TapHeadToTapHead,0.43706666666666655011555555,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.43890000000000017556000000,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.43890000000000017556000000,AmbiguousEvidence,SkipLocalAmbiguity,10
TapHeadToTapHead,0.4391666666666669594444444,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.43916666666666695944444444,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.43916666666666695944444445,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.4391666666666669594444445,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.44766666666666696511111111,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.45050000000000030033333333,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.45050000000000030033333334,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.45900000000000030600000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.45900000000000030600000000,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.48399999999999951600000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.49140000000000049140000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.49560000000000019824000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.497250000000000049725,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.4974666666666661692,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.4974666666666661692,AmbiguousEvidence,SkipLocalAmbiguity,16
TapHeadToTapHead,0.49746666666666716413333333,AmbiguousEvidence,SkipLocalAmbiguity,90
TapHeadToTapHead,0.497466666666667164133333333,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.497466666666667164133333333,AmbiguousEvidence,SkipLocalAmbiguity,7
TapHeadToTapHead,0.4974666666666671641333333333,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.497466666666667164133333334,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.49746666666666716413333334,AmbiguousEvidence,SkipLocalAmbiguity,38
TapHeadToTapHead,0.49769999999999996682000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.49774999999999950225000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.49774999999999950225,AmbiguousEvidence,SkipLocalAmbiguity,65
TapHeadToTapHead,0.49776666666666691555,AmbiguousEvidence,SkipLocalAmbiguity,368
TapHeadToTapHead,0.49793333333333283540000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.498000000000000498,AmbiguousEvidence,SkipLocalAmbiguity,35
TapHeadToTapHead,0.49830000000000055643500000,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.49840000000000019936000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.49840000000000019936000000,AmbiguousEvidence,SkipLocalAmbiguity,6
TapHeadToTapHead,0.49856666666666616810000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.498666666666666168,AmbiguousEvidence,SkipLocalAmbiguity,1708
TapHeadToTapHead,0.49866666666666653368888888,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.49866666666666653368888888,AmbiguousEvidence,SkipLocalAmbiguity,52
TapHeadToTapHead,0.498666666666666533688888888,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.498666666666666533688888888,AmbiguousEvidence,SkipLocalAmbiguity,5
TapHeadToTapHead,0.4986666666666665336888888889,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.498666666666666533688888889,AmbiguousEvidence,SkipLocalAmbiguity,70
TapHeadToTapHead,0.49866666666666653368888889,AmbiguousEvidence,SkipLocalAmbiguity,481
TapHeadToTapHead,0.4986666666666669991111111,AmbiguousEvidence,SkipLocalAmbiguity,202
TapHeadToTapHead,0.49866666666666699911111111,AmbiguousEvidence,SkipLocalAmbiguity,205
TapHeadToTapHead,0.49866666666666699911111112,AmbiguousEvidence,SkipLocalAmbiguity,29
TapHeadToTapHead,0.4986666666666669991111112,AmbiguousEvidence,SkipLocalAmbiguity,31
TapHeadToTapHead,0.498750000000000199500000000,AmbiguousEvidence,SkipLocalAmbiguity,141
TapHeadToTapHead,0.49910000000000019964000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.49910000000000019964000000,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.49915000000000032444750000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.49915000000000032444750000,AmbiguousEvidence,SkipLocalAmbiguity,12
TapHeadToTapHead,0.49919999999999950080000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.49919999999999950080000000,AmbiguousEvidence,SkipLocalAmbiguity,9
TapHeadToTapHead,0.49933333333333283400000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.49936666666666623388222222,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.49936666666666623388222223,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.49950000000000049950000000,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.499800000000000049980,AmbiguousEvidence,SkipLocalAmbiguity,1972
TapHeadToTapHead,0.49980000000000054978000000,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.49980000000000054978000000,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.49986666666666728316888888,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.49986666666666728316888889,LocalMismatch,SkipLocalMismatch,6
TapHeadToTapHead,0.49986666666666728316888889,AmbiguousEvidence,SkipLocalAmbiguity,8
TapHeadToTapHead,0.5002000000000005002000000000,AmbiguousEvidence,SkipLocalAmbiguity,1809
TapHeadToTapHead,0.50024999999999983325000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.50024999999999983325000000,AmbiguousEvidence,SkipLocalAmbiguity,4
TapHeadToTapHead,0.50033333333333329997777778,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.50033333333333329997777778,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.50049999999999949950000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.5004999999999994995,AmbiguousEvidence,SkipLocalAmbiguity,405
TapHeadToTapHead,0.50081666666666722591194444,LocalMismatch,SkipLocalMismatch,5
TapHeadToTapHead,0.50081666666666722591194445,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.50081666666666722591194445,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.50096666666666686705333333,AmbiguousEvidence,SkipLocalAmbiguity,88
TapHeadToTapHead,0.500966666666666867053333333,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.500966666666666867053333333,AmbiguousEvidence,SkipLocalAmbiguity,31
TapHeadToTapHead,0.500966666666666867053333334,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.500966666666666867053333334,AmbiguousEvidence,SkipLocalAmbiguity,15
TapHeadToTapHead,0.50096666666666686705333334,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.50096666666666686705333334,AmbiguousEvidence,SkipLocalAmbiguity,33
TapHeadToTapHead,0.501000000000000501,AmbiguousEvidence,SkipLocalAmbiguity,65
TapHeadToTapHead,0.50120000000000020048000000,LocalMismatch,SkipLocalMismatch,6
TapHeadToTapHead,0.50120000000000020048000000,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.50140000000000020056000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.5014000000000002507,AmbiguousEvidence,SkipLocalAmbiguity,644
TapHeadToTapHead,0.5015000000000003343333333,AmbiguousEvidence,SkipLocalAmbiguity,168
TapHeadToTapHead,0.50150000000000033433333333,AmbiguousEvidence,SkipLocalAmbiguity,146
TapHeadToTapHead,0.50150000000000033433333334,AmbiguousEvidence,SkipLocalAmbiguity,77
TapHeadToTapHead,0.5015000000000003343333334,AmbiguousEvidence,SkipLocalAmbiguity,76
TapHeadToTapHead,0.501599999999999866239999997,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.5015999999999998662400000000,AmbiguousEvidence,SkipLocalAmbiguity,525
TapHeadToTapHead,0.50163333333333365939500000,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.50166666666666616500000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.50178333333333353404666667,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.50179999999999949820000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.50179999999999949820000000,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.502333333333332831,AmbiguousEvidence,SkipLocalAmbiguity,992
TapHeadToTapHead,0.502350000000000050235,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.502350000000000050235,AmbiguousEvidence,SkipLocalAmbiguity,166
TapHeadToTapHead,0.52416666666666701611111112,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.54116666666666702744444444,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.54116666666666702744444445,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.5411666666666670274444445,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.56081666666666689099333333,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.56081666666666689099333333,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.56081666666666689099333334,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.56081666666666689099333334,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.56100000000000037400000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.56303333333333355854666666,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.56303333333333355854666666,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.563033333333333558546666666,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.56303333333333355854666667,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.56303333333333355854666667,AmbiguousEvidence,SkipLocalAmbiguity,6
TapHeadToTapHead,0.5638333333333337092222222,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.56383333333333370922222222,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.56694999999999989953000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.56906666666666651491555555,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.56906666666666651491555556,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.57199999999999984746666666,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.57199999999999984746666667,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.57199999999999984746666667,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.58079999999999984512000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.58079999999999984512000000,AmbiguousEvidence,SkipLocalAmbiguity,12
TapHeadToTapHead,0.5808333333333337205555556,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.58298333333333356652666666,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.58298333333333356652666667,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.58298333333333356652666667,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.582999999999999417,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.58299999999999941700,AmbiguousEvidence,SkipLocalAmbiguity,26
TapHeadToTapHead,0.5836666666666670557777777,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.58366666666666705577777777,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.58366666666666705577777778,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.58366666666666705577777778,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.5836666666666670557777778,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.5836666666666670557777778,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.58373333333333317767111111,AmbiguousEvidence,SkipLocalAmbiguity,69
TapHeadToTapHead,0.583733333333333177671111111,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.583733333333333177671111111,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.58373333333333317767111112,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.58373333333333317767111112,AmbiguousEvidence,SkipLocalAmbiguity,8
TapHeadToTapHead,0.58459999999999996102666667,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.58496666666666695915,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.58496666666666695915,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.58574999999999941425,AmbiguousEvidence,SkipLocalAmbiguity,6
TapHeadToTapHead,0.60066666666666706711111111,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.60066666666666706711111111,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.61893333333333316828444444,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.61893333333333316828444445,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.62050000000000041366666667,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.6232000000000006232,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.623200000000000623200000000,AmbiguousEvidence,SkipLocalAmbiguity,10
TapHeadToTapHead,0.623333333333332710,AmbiguousEvidence,SkipLocalAmbiguity,79
TapHeadToTapHead,0.6233333333333337488888888,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.62333333333333374888888888,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.62333333333333374888888888,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.62333333333333374888888889,AmbiguousEvidence,SkipLocalAmbiguity,29
TapHeadToTapHead,0.6233333333333337488888889,AmbiguousEvidence,SkipLocalAmbiguity,44
TapHeadToTapHead,0.62424999999999937575,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.62424999999999937575,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.624750000000000062475,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.624750000000000062475,AmbiguousEvidence,SkipLocalAmbiguity,34
