scope,family_key,transition_kind,local_state,final_action,resolutions
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",TapHeadToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,3
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",LongNoteReleaseToTapHead,LocalMismatch,SkipLocalMismatch,25
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",LongNoteReleaseToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,2
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",LongNoteReleaseToLongNoteHead,LocalMismatch,SkipLocalMismatch,14
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",LongNoteReleaseToLongNoteHead,NoComparableContext,SkipGlobalAmbiguity,1
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",LongNoteReleaseToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,11
global,"GLOBAL",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,2036
global,"GLOBAL",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,32471
global,"GLOBAL",TapHeadToLongNoteHead,LocalMismatch,SkipLocalMismatch,651
global,"GLOBAL",TapHeadToLongNoteHead,NoComparableContext,SkipGlobalMismatch,1
global,"GLOBAL",TapHeadToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,3067
global,"GLOBAL",LongNoteReleaseToTapHead,LocalMismatch,SkipLocalMismatch,638
global,"GLOBAL",LongNoteReleaseToTapHead,NoComparableContext,SkipGlobalMismatch,4
global,"GLOBAL",LongNoteReleaseToTapHead,NoComparableContext,SkipGlobalAmbiguity,1
global,"GLOBAL",LongNoteReleaseToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,3082
global,"GLOBAL",LongNoteReleaseToLongNoteHead,ObservedSupport,AdmitLocalSupport,2
global,"GLOBAL",LongNoteReleaseToLongNoteHead,LocalMismatch,SkipLocalMismatch,726
global,"GLOBAL",LongNoteReleaseToLongNoteHead,NoComparableContext,SkipGlobalMismatch,8
global,"GLOBAL",LongNoteReleaseToLongNoteHead,NoComparableContext,SkipGlobalAmbiguity,4
global,"GLOBAL",LongNoteReleaseToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,8071
