stratum,chart_id,seed,control_added,treatment_added,control_taps,treatment_taps,control_lns,treatment_lns,control_output_sha256,treatment_output_sha256,control_hard_violations,treatment_hard_violations,treatment_only_violations,control_only_violations,control_geometry_set_differences,treatment_geometry_set_differences,frozen_selected_lane_rejects,control_rng_calls,treatment_rng_calls,control_rng_sha256,treatment_rng_sha256,first_governed_divergence,first_full_state_reconvergence,control_reparse_exact,treatment_reparse_exact,default_reference_exact,treatment_deterministic,g1_evidence_invariant,control_gate_rng_calls,treatment_gate_rng_calls
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,1,212,212,82,82,130,130,70CC58472F60376D3F4F0123443D15E54348A9185447596462FE42745912E2EA,70CC58472F60376D3F4F0123443D15E54348A9185447596462FE42745912E2EA,0,0,0,0,0,0,0,2305,2305,74CE1C59D0A8AEC18899FEF3F6827FDCF1225E372E5F979BBF4191B58772A5B8,74CE1C59D0A8AEC18899FEF3F6827FDCF1225E372E5F979BBF4191B58772A5B8,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,2,214,214,84,84,130,130,409C584BB063AC0162AE07E795A377C389ED8C16124B378881C293DA4D456D60,409C584BB063AC0162AE07E795A377C389ED8C16124B378881C293DA4D456D60,0,0,0,0,0,0,0,2307,2307,71FD875C4AD2B8D526065373BD1BB92A160F23DA6139ACAD9F4F5ADBC4AC7A10,71FD875C4AD2B8D526065373BD1BB92A160F23DA6139ACAD9F4F5ADBC4AC7A10,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,3,198,198,73,73,125,125,BAE2846F2E29583D7848C0BF7E8E3E883F25ECB77C62B89B44A135C93C31850C,BAE2846F2E29583D7848C0BF7E8E3E883F25ECB77C62B89B44A135C93C31850C,0,0,0,0,0,0,0,2286,2286,1AD844DE07DB27C7F0EB2B9D2E5D54643EA8F52820D05D238D0C9B331D31081A,1AD844DE07DB27C7F0EB2B9D2E5D54643EA8F52820D05D238D0C9B331D31081A,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,4,216,216,92,92,124,124,4DCDEEC402989CA7E33FB80328FEF2BE66493F2E12972BD683E42921057EB73E,4DCDEEC402989CA7E33FB80328FEF2BE66493F2E12972BD683E42921057EB73E,0,0,0,0,0,0,0,2303,2303,A44105D7ADDE8AB1BAA736FFF8728D5C803E3A1A8164FEEA3FF08A11DFAE1004,A44105D7ADDE8AB1BAA736FFF8728D5C803E3A1A8164FEEA3FF08A11DFAE1004,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,5,199,199,77,77,122,122,61F9227194C066422B9D4831A164006877644B98DF65864D91DB4B15F8498A7F,61F9227194C066422B9D4831A164006877644B98DF65864D91DB4B15F8498A7F,0,0,0,0,0,0,0,2284,2284,2804EF5092594F47F06F78B1D71D867F181C1D2BF8021844729109E031D10B82,2804EF5092594F47F06F78B1D71D867F181C1D2BF8021844729109E031D10B82,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,6,202,202,76,76,126,126,B62B50DDC541641DF458A17801F5AC6242DC29AA61A7BD7CE6C5B338FB182CBC,B62B50DDC541641DF458A17801F5AC6242DC29AA61A7BD7CE6C5B338FB182CBC,0,0,0,0,0,0,0,2291,2291,D58FE08AB07EAFF02C45B702D41D8947527B23F42D959BC45F4B76B61F49E62E,D58FE08AB07EAFF02C45B702D41D8947527B23F42D959BC45F4B76B61F49E62E,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,7,215,215,89,89,126,126,B49B4709C1D87A4F21440A5943B76EA2AA01A539E08703E1A6C62A00B4094EFD,B49B4709C1D87A4F21440A5943B76EA2AA01A539E08703E1A6C62A00B4094EFD,0,0,0,0,0,0,0,2304,2304,59E76FBAA635AE0106394BB3FAC4566B95F19944974C8516BF5FF4BD91D2F127,59E76FBAA635AE0106394BB3FAC4566B95F19944974C8516BF5FF4BD91D2F127,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,8,211,211,86,86,125,125,35B9E7349ED301F7762EE950F33663B2B4DDA50BE191AA4919CFF0000DBCF13C,35B9E7349ED301F7762EE950F33663B2B4DDA50BE191AA4919CFF0000DBCF13C,0,0,0,0,0,0,0,2299,2299,648E8BD21507AAD1F41BD551AA2A05C5312555EB3CAD16B53903041A3847BAFE,648E8BD21507AAD1F41BD551AA2A05C5312555EB3CAD16B53903041A3847BAFE,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,9,212,212,84,84,128,128,2A02CBE58A57678592B4ECCF6969B1DBBF5D1CC0D0266A584A7E35252C01189A,2A02CBE58A57678592B4ECCF6969B1DBBF5D1CC0D0266A584A7E35252C01189A,0,0,0,0,0,0,0,2303,2303,E97D6624B6968D1CC83E2B165D51C8A8B4207E23DC1B3EA0EE9851C68059569C,E97D6624B6968D1CC83E2B165D51C8A8B4207E23DC1B3EA0EE9851C68059569C,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,10,205,205,82,82,123,123,021FF00E678E9597CE17008217D08C0A5F95028291A04B7D5079390B63762FF6,021FF00E678E9597CE17008217D08C0A5F95028291A04B7D5079390B63762FF6,0,0,0,0,0,0,0,2291,2291,1943EE5F93BD428621DCD24C6479CFF11B8EB13341E9A5E678AB0ABC14AF04C7,1943EE5F93BD428621DCD24C6479CFF11B8EB13341E9A5E678AB0ABC14AF04C7,"","",true,true,true,true,true,0,0
