view,target_type,original_chord_head_count,reduced_visible_member_count,held_before,baseline_completion_count,trials,baseline_competing_trials,no_comparable_exact_context,comparable_target_unsupported,target_supported_still_competing,target_resolved_unique,unique_wrong_completion,contextual_witness_references,micro_coverage_rate,micro_target_supported_rate,primary_resolution_rate
ReducedNextTransition,LongNoteHead,3,2,present,3,107,65,62,0,0,44,1,375,0.420560747664,0.411214953271,0.676923076923
ReducedNextTransition,LongNoteHead,3,2,present,4,173,142,69,2,64,37,1,2044,0.601156069364,0.583815028902,0.260563380282
ReducedNextTransition,LongNoteHead,3,2,present,5,216,166,159,7,13,13,24,102,0.263888888889,0.12037037037,0.078313253012
ReducedNextTransition,LongNoteHead,3,2,present,6,404,361,229,22,43,51,59,373,0.433168316832,0.232673267327,0.141274238227
ReducedNextTransition,LongNoteHead,3,2,present,7,516,456,328,19,53,37,79,341,0.364341085271,0.174418604651,0.081140350877
ReducedNextTransition,LongNoteHead,3,2,present,8,663,635,466,28,32,71,66,382,0.297134238311,0.155354449472,0.111811023622
ReducedNextTransition,LongNoteHead,3,2,present,9,495,480,363,19,20,59,34,257,0.266666666667,0.159595959596,0.122916666667
ReducedNextTransition,LongNoteHead,3,2,present,10,349,349,241,9,19,52,28,204,0.309455587393,0.203438395415,0.14899713467
ReducedNextTransition,LongNoteHead,4,3,absent,0,13,0,13,0,0,0,0,0,0,0,N/A
ReducedNextTransition,LongNoteHead,4,3,absent,1,95,0,52,0,0,43,0,122,0.452631578947,0.452631578947,N/A
ReducedNextTransition,LongNoteHead,4,3,absent,2,59,45,37,0,0,22,0,68,0.372881355932,0.372881355932,0.488888888889
ReducedNextTransition,LongNoteHead,4,3,absent,3,65,50,64,0,1,0,0,3,0.015384615385,0.015384615385,0
ReducedNextTransition,LongNoteHead,4,3,absent,4,138,122,129,1,0,4,4,10,0.065217391304,0.028985507246,0.032786885246
ReducedNextTransition,LongNoteHead,4,3,absent,5,54,52,50,0,1,2,1,5,0.074074074074,0.055555555556,0.038461538462
ReducedNextTransition,LongNoteHead,4,3,absent,6,54,52,40,1,3,6,4,19,0.259259259259,0.166666666667,0.115384615385
ReducedNextTransition,LongNoteHead,4,3,absent,7,10,7,10,0,0,0,0,0,0,0,0
ReducedNextTransition,LongNoteHead,4,3,absent,8,8,8,6,0,0,2,0,2,0.25,0.25,0.25
ReducedNextTransition,LongNoteHead,4,3,present,0,72,0,72,0,0,0,0,0,0,0,N/A
ReducedNextTransition,LongNoteHead,4,3,present,1,191,0,180,0,0,9,2,14,0.057591623037,0.047120418848,N/A
ReducedNextTransition,LongNoteHead,4,3,present,2,253,130,216,0,8,24,5,66,0.146245059289,0.126482213439,0.184615384615
ReducedNextTransition,LongNoteHead,4,3,present,3,261,169,227,0,5,18,11,43,0.130268199234,0.088122605364,0.10650887574
ReducedNextTransition,LongNoteHead,4,3,present,4,390,328,306,1,18,48,17,162,0.215384615385,0.169230769231,0.146341463415
ReducedNextTransition,LongNoteHead,4,3,present,5,183,157,140,2,8,20,13,66,0.234972677596,0.153005464481,0.127388535032
ReducedNextTransition,LongNoteHead,4,3,present,6,114,104,77,6,10,13,8,79,0.324561403509,0.201754385965,0.125
