scope,family_key,is_target_candidate,parent_view,child_view,resolutions
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedPreviousTransition,ReducedPrevNext,182
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedPrevNext,ReducedHeldPrevNext,8
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedHeld,ReducedHeldPrevNext,74
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedNext,ReducedNextTransition,756
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedNextTransition,ReducedPrevNext,150
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedPrevious,ReducedPreviousTransition,779
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedPreviousTransition,ReducedPrevNext,150
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,ReducedPrevNext,ReducedHeldPrevNext,74
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedHeld,ReducedHeldPrevNext,134
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedNext,ReducedNextTransition,1187
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedNextTransition,ReducedPrevNext,201
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedPrevious,ReducedPreviousTransition,1124
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedPreviousTransition,ReducedPrevNext,201
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,ReducedPrevNext,ReducedHeldPrevNext,134
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedHeld,ReducedHeldPrevNext,228
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedNext,ReducedNextTransition,958
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedNextTransition,ReducedPrevNext,244
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedPrevious,ReducedPreviousTransition,912
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedPreviousTransition,ReducedPrevNext,244
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,ReducedPrevNext,ReducedHeldPrevNext,228
family,"NOWISEE | KO INU | RUKA",no,ReducedHeld,ReducedHeldPrevNext,8
family,"NOWISEE | KO INU | RUKA",no,ReducedNext,ReducedNextTransition,625
family,"NOWISEE | KO INU | RUKA",no,ReducedNextTransition,ReducedPrevNext,34
family,"NOWISEE | KO INU | RUKA",no,ReducedPrevious,ReducedPreviousTransition,550
family,"NOWISEE | KO INU | RUKA",no,ReducedPreviousTransition,ReducedPrevNext,34
family,"NOWISEE | KO INU | RUKA",no,ReducedPrevNext,ReducedHeldPrevNext,8
family,"NOWISEE | KO INU | RUKA",yes,ReducedHeld,ReducedHeldPrevNext,140
family,"NOWISEE | KO INU | RUKA",yes,ReducedNext,ReducedNextTransition,421
family,"NOWISEE | KO INU | RUKA",yes,ReducedNextTransition,ReducedPrevNext,144
family,"NOWISEE | KO INU | RUKA",yes,ReducedPrevious,ReducedPreviousTransition,375
family,"NOWISEE | KO INU | RUKA",yes,ReducedPreviousTransition,ReducedPrevNext,144
family,"NOWISEE | KO INU | RUKA",yes,ReducedPrevNext,ReducedHeldPrevNext,140
family,"ORGT | DESTINY | BAIO",no,ReducedHeld,ReducedHeldPrevNext,17
family,"ORGT | DESTINY | BAIO",no,ReducedNext,ReducedNextTransition,290
family,"ORGT | DESTINY | BAIO",no,ReducedNextTransition,ReducedPrevNext,32
family,"ORGT | DESTINY | BAIO",no,ReducedPrevious,ReducedPreviousTransition,371
family,"ORGT | DESTINY | BAIO",no,ReducedPreviousTransition,ReducedPrevNext,32
family,"ORGT | DESTINY | BAIO",no,ReducedPrevNext,ReducedHeldPrevNext,17
family,"ORGT | DESTINY | BAIO",yes,ReducedHeld,ReducedHeldPrevNext,88
family,"ORGT | DESTINY | BAIO",yes,ReducedNext,ReducedNextTransition,292
family,"ORGT | DESTINY | BAIO",yes,ReducedNextTransition,ReducedPrevNext,98
family,"ORGT | DESTINY | BAIO",yes,ReducedPrevious,ReducedPreviousTransition,319
family,"ORGT | DESTINY | BAIO",yes,ReducedPreviousTransition,ReducedPrevNext,98
family,"ORGT | DESTINY | BAIO",yes,ReducedPrevNext,ReducedHeldPrevNext,88
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedHeld,ReducedHeldPrevNext,82
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedNext,ReducedNextTransition,1086
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedNextTransition,ReducedPrevNext,82
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedPrevious,ReducedPreviousTransition,1125
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedPreviousTransition,ReducedPrevNext,82
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",no,ReducedPrevNext,ReducedHeldPrevNext,82
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedHeld,ReducedHeldPrevNext,207
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedNext,ReducedNextTransition,1063
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedNextTransition,ReducedPrevNext,207
