stratum,chart_id,seed,frozen_arm,opportunity_key,lane,start_time,end_time,frozen_known,historical_class,hardened_class,direct_reject,lineage_id,divergence_opportunity,divergence_control_state,divergence_treatment_state,parent_states_different,no_reconvergence_before_case,target_absent_in_treatment,candidate_shape_reached_in_treatment,frozen_lane_selected_in_treatment,frozen_commit_absent_in_treatment,divergence_governed_by_canonical,temporal_only_explanation,evidence
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,14,control,"OP-00004581-BaseHead-S4581-T238468-ANA",1,238468,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-B3A1AFDBED8D4F545D7090D6","OP-00000051-BaseHead-S51-T6700-ANA",C48CC82F06D3E0E314B0B95DDB1018265AF3A7B908E2EB7ADBF67D67BACB2461,5183DE6D1A3F1552C5B3536332D00B91C076B7817ADB8EB64039A7A9FE1ECC44,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,14,control,"OP-00005265-BaseHead-S5265-T266791-ANA",0,266791,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-B3A1AFDBED8D4F545D7090D6","OP-00000051-BaseHead-S51-T6700-ANA",C48CC82F06D3E0E314B0B95DDB1018265AF3A7B908E2EB7ADBF67D67BACB2461,5183DE6D1A3F1552C5B3536332D00B91C076B7817ADB8EB64039A7A9FE1ECC44,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,14,control,"OP-00005296-BaseHead-S5296-T267939-ANA",5,267939,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-B3A1AFDBED8D4F545D7090D6","OP-00000051-BaseHead-S51-T6700-ANA",C48CC82F06D3E0E314B0B95DDB1018265AF3A7B908E2EB7ADBF67D67BACB2461,5183DE6D1A3F1552C5B3536332D00B91C076B7817ADB8EB64039A7A9FE1ECC44,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,14,control,"OP-00005614-BaseHead-S5614-T278394-ANA",3,278394,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-B3A1AFDBED8D4F545D7090D6","OP-00000051-BaseHead-S51-T6700-ANA",C48CC82F06D3E0E314B0B95DDB1018265AF3A7B908E2EB7ADBF67D67BACB2461,5183DE6D1A3F1552C5B3536332D00B91C076B7817ADB8EB64039A7A9FE1ECC44,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,14,control,"OP-00005753-BaseHead-S5753-T282762-ANA",5,282762,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-B3A1AFDBED8D4F545D7090D6","OP-00000051-BaseHead-S51-T6700-ANA",C48CC82F06D3E0E314B0B95DDB1018265AF3A7B908E2EB7ADBF67D67BACB2461,5183DE6D1A3F1552C5B3536332D00B91C076B7817ADB8EB64039A7A9FE1ECC44,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,14,control,"OP-00005915-BaseHead-S5915-T287968-ANA",6,287968,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-B3A1AFDBED8D4F545D7090D6","OP-00000051-BaseHead-S51-T6700-ANA",C48CC82F06D3E0E314B0B95DDB1018265AF3A7B908E2EB7ADBF67D67BACB2461,5183DE6D1A3F1552C5B3536332D00B91C076B7817ADB8EB64039A7A9FE1ECC44,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,control,"OP-00000055-BaseHead-S55-T6926-ANA",6,6926,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"","",,,false,false,true,true,false,true,false,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,control,"OP-00000410-BaseHead-S410-T31907-ANA",6,31907,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-A4E72FC02C97E7CAFECFF72F","OP-00000055-BaseHead-S55-T6926-ANA",034261BD8CC3BEBFD78C828B2D78B0D95616114FFC102163BBDADE317BFE0BCB,A2467A0376651DD577B2A99A4AF842BDFED66FAB0E169D92691CF64EFE7E1BC8,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,control,"OP-00004525-BaseHead-S4525-T235733-ANA",4,235733,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-A4E72FC02C97E7CAFECFF72F","OP-00000055-BaseHead-S55-T6926-ANA",034261BD8CC3BEBFD78C828B2D78B0D95616114FFC102163BBDADE317BFE0BCB,A2467A0376651DD577B2A99A4AF842BDFED66FAB0E169D92691CF64EFE7E1BC8,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,control,"OP-00004638-BaseHead-S4638-T241292-ANA",5,241292,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-A4E72FC02C97E7CAFECFF72F","OP-00000055-BaseHead-S55-T6926-ANA",034261BD8CC3BEBFD78C828B2D78B0D95616114FFC102163BBDADE317BFE0BCB,A2467A0376651DD577B2A99A4AF842BDFED66FAB0E169D92691CF64EFE7E1BC8,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
