family_key,relative_path,version,key_count,charts,view,total_trials,baseline_competing_trials,primary_baseline_alternatives_sum,primary_contextual_alternatives_sum,primary_baseline_alternatives_mean,primary_contextual_alternatives_mean,no_comparable_exact_context,comparable_target_unsupported,target_supported_still_competing,target_resolved_unique,unique_wrong_completion,primary_no_comparable_exact_context,primary_comparable_target_unsupported,primary_target_supported_still_competing,primary_target_resolved_unique,primary_unique_wrong_completion,exact_target_supported,lane_supported_but_type_different,contextual_witness_references,target_group_leakage,future_held_leakage,held_tail_encoded_as_head,donor_nesting_violations,beat_ms_materialization_differences,context_build_ms,exact_match_ms,detailed_artifact_bytes,micro_coverage_rate,micro_target_supported_rate,primary_resolution_rate,macro_family_coverage_rate,macro_family_primary_resolution_rate
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedOnly,4218,4162,21589,21589,5.187169629986,5.187169629986,15,16,4162,14,11,0,0,4162,0,0,4176,215,442052,0,0,0,0,0,443.7171,400.0038,49429726,0.996443812233,0.990042674253,0,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,ReducedNextTransition,921,885,2424,1048,2.738983050847,1.18418079096,217,13,316,276,99,197,13,316,260,99,592,0,2646,0,0,0,0,0,32.1424,71.5317,10481731,0.764386536374,0.642779587405,0.293785310734,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,ReducedPrevNext,921,885,2424,271,2.738983050847,0.306214689266,646,0,4,235,36,618,0,4,227,36,239,0,342,0,0,0,0,0,32.1424,71.5317,10481731,0.298588490771,0.259500542888,0.256497175141,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,ReducedHeldPrevNext,921,885,2424,271,2.738983050847,0.306214689266,646,0,4,235,36,618,0,4,227,36,239,0,342,0,0,0,0,0,32.1424,71.5317,10481731,0.298588490771,0.259500542888,0.256497175141,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,ReducedOnly,1505,1413,7455,7455,5.276008492569,5.276008492569,2,9,1413,76,5,0,0,1413,0,0,1489,1328,213956,0,0,0,0,0,67.1433,99.0199,17771938,0.998671096346,0.989368770764,0,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,ReducedHeld,1505,1413,7455,3069,5.276008492569,2.171974522293,8,24,1115,345,13,1,18,1115,270,9,1460,830,46442,0,0,0,0,0,67.1433,99.0199,17771938,0.994684385382,0.970099667774,0.191082802548,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,ReducedPrevious,1505,1413,7455,2769,5.276008492569,1.95966029724,124,34,857,415,75,101,33,857,353,69,1272,252,23940,0,0,0,0,0,67.1433,99.0199,17771938,0.917607973422,0.845182724252,0.249823071479,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,ReducedPreviousTransition,1505,1413,7455,1967,5.276008492569,1.392073602265,271,27,553,570,84,241,27,553,513,79,1123,105,12662,0,0,0,0,0,67.1433,99.0199,17771938,0.819933554817,0.746179401993,0.363057324841,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,ReducedNext,1505,1413,7455,3117,5.276008492569,2.205944798301,112,31,881,427,54,93,29,881,360,50,1308,261,28582,0,0,0,0,0,67.1433,99.0199,17771938,0.925581395349,0.869102990033,0.254777070064,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,ReducedNextTransition,1505,1413,7455,2322,5.276008492569,1.643312101911,247,32,607,561,58,206,30,607,514,56,1168,123,14524,0,0,0,0,0,67.1433,99.0199,17771938,0.835880398671,0.776079734219,0.363765038924,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,ReducedPrevNext,1505,1413,7455,861,5.276008492569,0.609341825902,628,3,21,822,31,576,3,21,783,30,843,7,3462,0,0,0,0,0,67.1433,99.0199,17771938,0.582724252492,0.560132890365,0.554140127389,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,ReducedHeldPrevNext,1505,1413,7455,786,5.276008492569,0.556263269639,681,0,2,811,11,629,0,2,772,10,813,7,3102,0,0,0,0,0,67.1433,99.0199,17771938,0.547508305648,0.540199335548,0.54635527247,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,ReducedOnly,7918,6868,61380,61380,8.937099592312,8.937099592312,172,608,6868,122,148,0,0,6868,0,0,6990,5738,785264,0,0,0,0,0,654.7617,428.5317,97576155,0.978277342763,0.882798686537,0,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,ReducedHeld,7918,6868,61380,20769,8.937099592312,3.02402446127,1685,600,3715,1115,803,995,496,3715,1023,639,4830,1545,148614,0,0,0,0,0,654.7617,428.5317,97576155,0.787193735792,0.61000252589,0.148951659872,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,ReducedPrevious,7918,6868,61380,10121,8.937099592312,1.473645894001,3430,683,1704,1158,943,2520,651,1704,1142,851,2862,516,19262,0,0,0,0,0,654.7617,428.5317,97576155,0.566809800455,0.361454912857,0.166278392545,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,ReducedPreviousTransition,7918,6868,61380,1789,8.937099592312,0.260483401281,6446,54,203,830,385,5408,54,203,826,377,1033,8,2692,0,0,0,0,0,654.7617,428.5317,97576155,0.1859055317,0.130462237939,0.120267909144,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,ReducedNext,7918,6868,61380,10658,8.937099592312,1.551834595224,3326,681,1889,1161,861,2469,645,1889,1108,757,3050,582,22876,0,0,0,0,0,654.7617,428.5317,97576155,0.579944430412,0.385198282395,0.161327897496,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,ReducedNextTransition,7918,6868,61380,2322,8.937099592312,0.338089691322,6219,138,320,873,368,5186,136,320,871,355,1193,53,3660,0,0,0,0,0,654.7617,428.5317,97576155,0.214574387472,0.15066936095,0.126820034945,N/A,N/A
