chart_id,seed,control_hard,treatment_hard,attributable_introduced,unattributable,serialization_unattributable,provenance_validation_failures
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,4,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,5,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,6,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,7,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,8,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,9,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,10,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,11,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,12,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,13,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,14,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,15,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,16,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,17,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,18,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,19,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,20,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,1,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,2,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,3,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,4,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,5,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,6,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,7,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,8,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,9,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,10,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,11,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,12,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,13,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,14,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,15,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,16,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,17,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,18,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,19,0,0,0,0,0,0
B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,20,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,1,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,2,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,3,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,4,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,5,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,6,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,7,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,8,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,9,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,10,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,11,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,12,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,13,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,14,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,15,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,16,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,17,0,0,0,0,0,0
